300 300
0 0 64
0 1 49
0 2 30
0 3 80
0 4 14
0 5 5
0 6 13
0 7 68
0 8 85
0 9 53
0 10 81
0 11 97
0 12 96
0 13 0
0 14 66
0 15 0
0 16 98
0 17 40
0 18 33
0 19 25
0 20 31
0 21 69
0 22 70
0 23 29
0 24 16
0 25 95
0 26 47
0 27 61
0 28 96
0 29 21
0 30 3
0 31 27
0 32 77
0 33 6
0 34 26
0 35 68
0 36 11
0 37 96
0 38 60
0 39 11
0 40 4
0 41 11
0 42 85
0 43 78
0 44 70
0 45 45
0 46 11
0 47 93
0 48 82
0 49 25
0 50 14
0 51 84
0 52 51
0 53 42
0 54 82
0 55 28
0 56 71
0 57 92
0 58 37
0 59 59
0 60 43
0 61 15
0 62 77
0 63 58
0 64 89
0 65 55
0 66 81
0 67 24
0 68 64
0 69 96
0 70 74
0 71 3
0 72 33
0 73 31
0 74 25
0 75 26
0 76 38
0 77 63
0 78 66
0 79 10
0 80 46
0 81 31
0 82 42
0 83 92
0 84 63
0 85 79
0 86 24
0 87 57
0 88 9
0 89 89
0 90 54
0 91 66
0 92 56
0 93 1
0 94 75
0 95 54
0 96 74
0 97 92
0 98 76
0 99 19
0 100 44
0 101 19
0 102 66
0 103 89
0 104 38
0 105 80
0 106 52
0 107 57
0 108 18
0 109 56
0 110 12
0 111 19
0 112 85
0 113 53
0 114 19
0 115 95
0 116 48
0 117 27
0 118 61
0 119 8
0 120 80
0 121 11
0 122 1
0 123 26
0 124 6
0 125 80
0 126 20
0 127 73
0 128 91
0 129 25
0 130 19
0 131 62
0 132 53
0 133 55
0 134 43
0 135 72
0 136 34
0 137 72
0 138 16
0 139 67
0 140 39
0 141 18
0 142 94
0 143 81
0 144 87
0 145 20
0 146 43
0 147 73
0 148 52
0 149 71
0 150 55
0 151 87
0 152 43
0 153 46
0 154 71
0 155 73
0 156 43
0 157 61
0 158 22
0 159 43
0 160 2
0 161 21
0 162 69
0 163 82
0 164 67
0 165 19
0 166 88
0 167 84
0 168 35
0 169 76
0 170 0
0 171 25
0 172 88
0 173 27
0 174 6
0 175 63
0 176 31
0 177 3
0 178 49
0 179 88
0 180 0
0 181 92
0 182 14
0 183 22
0 184 73
0 185 37
0 186 78
0 187 43
0 188 79
0 189 44
0 190 45
0 191 22
0 192 91
0 193 17
0 194 94
0 195 94
0 196 11
0 197 50
0 198 8
0 199 22
0 200 34
0 201 63
0 202 22
0 203 96
0 204 35
0 205 47
0 206 34
0 207 42
0 208 59
0 209 78
0 210 88
0 211 26
0 212 47
0 213 3
0 214 28
0 215 98
0 216 28
0 217 16
0 218 5
0 219 22
0 220 3
0 221 26
0 222 47
0 223 12
0 224 10
0 225 14
0 226 0
0 227 49
0 228 60
0 229 4
0 230 82
0 231 87
0 232 83
0 233 65
0 234 66
0 235 45
0 236 72
0 237 79
0 238 55
0 239 61
0 240 97
0 241 47
0 242 16
0 243 57
0 244 14
0 245 12
0 246 4
0 247 10
0 248 61
0 249 85
0 250 15
0 251 86
0 252 98
0 253 39
0 254 17
0 255 45
0 256 78
0 257 67
0 258 1
0 259 84
0 260 80
0 261 64
0 262 24
0 263 52
0 264 50
0 265 10
0 266 2
0 267 74
0 268 94
0 269 85
0 270 59
0 271 53
0 272 15
0 273 32
0 274 0
0 275 32
0 276 2
0 277 51
0 278 11
0 279 69
0 280 84
0 281 73
0 282 89
0 283 85
0 284 37
0 285 18
0 286 51
0 287 26
0 288 82
0 289 52
0 290 25
0 291 61
0 292 40
0 293 92
0 294 84
0 295 33
0 296 75
0 297 41
0 298 53
0 299 67
1 0 87
1 1 5
1 2 13
1 3 2
1 4 23
1 5 57
1 6 97
1 7 9
1 8 19
1 9 26
1 10 86
1 11 40
1 12 23
1 13 33
1 14 50
1 15 45
1 16 17
1 17 90
1 18 87
1 19 62
1 20 62
1 21 54
1 22 5
1 23 75
1 24 29
1 25 65
1 26 95
1 27 80
1 28 25
1 29 57
1 30 10
1 31 6
1 32 70
1 33 98
1 34 41
1 35 9
1 36 76
1 37 63
1 38 71
1 39 83
1 40 94
1 41 1
1 42 20
1 43 46
1 44 64
1 45 74
1 46 42
1 47 61
1 48 59
1 49 32
1 50 95
1 51 13
1 52 53
1 53 72
1 54 1
1 55 37
1 56 78
1 57 71
1 58 21
1 59 54
1 60 51
1 61 71
1 62 91
1 63 31
1 64 89
1 65 81
1 66 57
1 67 67
1 68 61
1 69 72
1 70 45
1 71 89
1 72 2
1 73 70
1 74 71
1 75 18
1 76 87
1 77 94
1 78 94
1 79 79
1 80 98
1 81 75
1 82 36
1 83 10
1 84 77
1 85 57
1 86 9
1 87 93
1 88 27
1 89 72
1 90 27
1 91 5
1 92 62
1 93 34
1 94 88
1 95 54
1 96 92
1 97 91
1 98 20
1 99 20
1 100 51
1 101 6
1 102 8
1 103 92
1 104 7
1 105 40
1 106 39
1 107 48
1 108 52
1 109 82
1 110 39
1 111 53
1 112 62
1 113 28
1 114 85
1 115 52
1 116 50
1 117 76
1 118 1
1 119 78
1 120 81
1 121 8
1 122 32
1 123 19
1 124 49
1 125 26
1 126 87
1 127 68
1 128 59
1 129 14
1 130 84
1 131 0
1 132 93
1 133 78
1 134 13
1 135 73
1 136 17
1 137 66
1 138 14
1 139 95
1 140 76
1 141 93
1 142 51
1 143 72
1 144 42
1 145 41
1 146 97
1 147 70
1 148 82
1 149 40
1 150 88
1 151 40
1 152 26
1 153 33
1 154 90
1 155 47
1 156 43
1 157 31
1 158 83
1 159 78
1 160 82
1 161 3
1 162 37
1 163 43
1 164 14
1 165 75
1 166 13
1 167 72
1 168 12
1 169 65
1 170 86
1 171 39
1 172 77
1 173 27
1 174 39
1 175 62
1 176 44
1 177 48
1 178 85
1 179 76
1 180 61
1 181 5
1 182 87
1 183 12
1 184 87
1 185 23
1 186 14
1 187 95
1 188 8
1 189 45
1 190 50
1 191 93
1 192 27
1 193 93
1 194 0
1 195 95
1 196 83
1 197 31
1 198 48
1 199 26
1 200 98
1 201 90
1 202 13
