20 20
0 0 24
0 1 29
0 2 0
0 3 91
0 4 40
0 5 83
0 6 82
0 7 4
0 8 80
0 9 72
0 10 32
0 11 17
0 12 42
0 13 70
0 14 20
0 15 45
0 16 42
0 17 98
0 18 11
0 19 57
1 0 96
1 1 91
1 2 95
1 3 10
1 4 98
1 5 51
1 6 20
1 7 57
1 8 24
1 9 90
1 10 2
1 11 5
1 12 44
1 13 36
1 14 21
1 15 29
1 16 53
1 17 9
1 18 27
1 19 6
2 0 20
2 1 40
2 2 22
2 3 70
2 4 31
2 5 63
2 6 16
2 7 78
2 8 50
2 9 52
2 10 85
2 11 22
2 12 8
2 13 28
2 14 26
2 15 78
2 16 65
2 17 35
2 18 28
2 19 87
3 0 98
3 1 81
3 2 67
3 3 97
3 4 77
3 5 84
3 6 66
3 7 59
3 8 59
3 9 57
3 10 93
3 11 95
3 12 20
3 13 81
3 14 6
3 15 30
3 16 83
3 17 70
3 18 78
3 19 33
4 0 50
4 1 86
4 2 78
4 3 30
4 4 16
4 5 38
4 6 36
4 7 61
4 8 8
4 9 42
4 10 85
4 11 55
4 12 4
4 13 81
4 14 33
4 15 29
4 16 77
4 17 77
4 18 1
4 19 0
5 0 89
5 1 0
5 2 26
5 3 9
5 4 63
5 5 35
5 6 29
5 7 53
5 8 20
5 9 39
5 10 64
5 11 31
5 12 16
5 13 8
5 14 89
5 15 92
5 16 18
5 17 46
5 18 65
5 19 71
6 0 6
6 1 93
6 2 28
6 3 59
6 4 44
6 5 21
6 6 27
6 7 1
6 8 59
6 9 28
6 10 11
6 11 86
6 12 68
6 13 70
6 14 15
6 15 67
6 16 89
6 17 37
6 18 83
6 19 59
7 0 76
7 1 29
7 2 41
7 3 48
7 4 8
7 5 97
7 6 52
7 7 15
7 8 84
7 9 33
7 10 12
7 11 95
7 12 64
7 13 28
7 14 34
7 15 64
7 16 87
7 17 62
7 18 64
7 19 3
8 0 5
8 1 19
8 2 39
8 3 92
8 4 65
8 5 14
8 6 65
8 7 57
8 8 78
8 9 93
8 10 52
8 11 54
8 12 67
8 13 32
8 14 47
8 15 68
8 16 52
8 17 56
8 18 90
8 19 71
9 0 66
9 1 59
9 2 72
9 3 40
9 4 65
9 5 85
9 6 82
9 7 42
9 8 48
9 9 59
9 10 28
9 11 8
9 12 46
9 13 43
9 14 87
9 15 13
9 16 87
9 17 24
9 18 96
9 19 80
10 0 88
10 1 62
10 2 69
10 3 1
10 4 34
10 5 91
10 6 69
10 7 82
10 8 83
10 9 14
10 10 22
10 11 22
10 12 2
10 13 3
10 14 34
10 15 20
10 16 80
10 17 78
10 18 67
10 19 32
11 0 64
11 1 29
11 2 7
11 3 88
11 4 28
11 5 96
11 6 73
11 7 13
11 8 3
11 9 59
11 10 83
11 11 86
11 12 94
11 13 76
11 14 4
11 15 20
11 16 41
11 17 45
11 18 13
11 19 40
12 0 74
12 1 0
12 2 61
12 3 72
12 4 66
12 5 25
12 6 86
12 7 62
12 8 89
12 9 27
12 10 40
12 11 77
12 12 59
12 13 13
12 14 81
12 15 20
12 16 11
12 17 74
12 18 49
12 19 50
13 0 27
13 1 19
13 2 85
13 3 28
13 4 19
13 5 65
13 6 67
13 7 18
13 8 39
13 9 60
13 10 84
13 11 9
13 12 66
13 13 57
13 14 48
13 15 44
13 16 88
13 17 9
13 18 3
13 19 88
14 0 38
14 1 42
14 2 15
14 3 3
14 4 72
14 5 65
14 6 35
14 7 36
14 8 60
14 9 42
14 10 36
14 11 30
14 12 40
14 13 90
14 14 44
14 15 12
14 16 71
14 17 51
14 18 21
14 19 70
15 0 40
15 1 14
15 2 20
15 3 72
15 4 19
15 5 33
15 6 69
15 7 34
15 8 94
15 9 64
15 10 70
15 11 4
15 12 90
15 13 23
15 14 69
15 15 7
15 16 82
15 17 31
15 18 36
15 19 75
16 0 59
16 1 26
16 2 31
16 3 41
16 4 63
16 5 9
16 6 51
16 7 67
16 8 43
16 9 46
16 10 70
16 11 88
16 12 78
16 13 91
16 14 80
16 15 9
16 16 49
16 17 5
16 18 11
16 19 79
17 0 50
17 1 47
17 2 16
17 3 25
17 4 58
17 5 41
17 6 48
17 7 63
17 8 31
17 9 35
17 10 81
17 11 53
17 12 74
17 13 64
17 14 17
17 15 69
17 16 73
17 17 90
17 18 65
17 19 96
18 0 89
18 1 44
18 2 87
18 3 6
18 4 77
18 5 71
18 6 5
18 7 81
18 8 14
18 9 83
18 10 33
18 11 28
18 12 25
18 13 90
18 14 88
18 15 81
18 16 69
18 17 75
18 18 66
18 19 91
19 0 65
19 1 9
19 2 32
19 3 51
19 4 92
19 5 26
19 6 8
19 7 92
19 8 27
19 9 30
19 10 41
19 11 93
19 12 96
19 13 43
19 14 47
19 15 62
19 16 42
19 17 27
19 18 42
19 19 3
